index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
0,Opel,Opel Corsa,C,2022,47707,Diésel,102,MANUAL,True,Almería,4.06,1.77,1.43,1165,,-,188,10.2,4.1,107,1,5,15700
1,Peugeot,Peugeot Rifter,C,2019,57194,Diésel,130,AUTO,True,Almería,4.4,1.85,1.82,1430,1355,-,179,4.3,114.0,,2,5,24900
2,Renault,Renault Kadjar,C,2017,66428,Diésel,110,MANUAL,False,Barcelona,4.45,1.84,1.61,1380,1478,-,182,11.9,3.8,99,2,5,17800
3,Dacia,Dacia Sandero,C,2016,48430,Gasolina,75,MANUAL,True,Madrid,4.06,1.73,1.52,941,1200,-,162,14.5,5.8,130,2,3,9300
4,Nissan,Nissan QASHQAI,C,2020,72209,Gasolina,160,AUTO,False,Málaga,4.39,1.81,1.59,1315,1598,-,198,9.9,6.9,156,2,5,21500
5,BMW,BMW X2,C,2018,123979,Diésel,150,AUTO,False,Barcelona,4.36,1.82,1.53,1575,1355,-,207,9.3,4.5,119,2,5,20900
6,KIA,KIA Stonic,C,2018,125737,Diésel,110,MANUAL,False,Murcia,4.14,1.76,1.52,1255,1155,-,175,11.3,4.2,109,2,5,15690
7,KIA,KIA Stonic,C,2019,130012,Gasolina,100,MANUAL,True,Zaragoza,4.14,1.76,1.52,1180,1155,-,179,10.8,6.1,139,2,5,13500
8,Volkswagen,Volkswagen T-Cross,C,2020,27769,Gasolina,150,AUTO,False,Madrid,4.11,1.76,1.58,1330,1281,-,200,8.5,6.6,119,1,5,23800
9,Land Rover,Land Rover Range Rover Evoque,ECO,2019,75212,Híbrido,200,AUTO,False,Barcelona,4.37,1.9,1.65,1845,1156,-,216,8.5,7.7,176,2,5,37900
10,KIA,KIA Ceed,C,2020,87537,Gasolina,100,MANUAL,False,Madrid,4.31,1.8,1.45,1260,1291,-,183,11.8,5.5,126,2,5,14450
11,Skoda,Skoda Octavia,0_EMISIONES,2020,53475,Híbrido Enchufable,204,AUTO,False,Murcia,4.69,1.83,1.48,1608,1405,-,220,7.7,1.0,79,2,5,26990
12,BMW,BMW X1,C,2018,71790,Diésel,190,AUTO,False,,4.44,1.82,1.6,1625,,-,219,7.8,4.7,123,2,5,27800
13,Hyundai,Hyundai Tucson,C,2018,132777,Diésel,141,AUTO,False,Madrid,4.47,1.85,1.66,1425,1503,-,185,13.7,4.9,129,2,5,20900
14,Mercedes,Mercedes Clase GLC,C,2019,144738,Diésel,170,AUTO,False,Huelva,4.66,1.89,1.64,1845,1600,-,210,8.3,5.9,156,2,5,34300
15,Ford,Ford EcoSport,C,2018,88534,Gasolina,140,MANUAL,False,Barcelona,4.1,1.77,1.65,1280,1238,-,188,11.8,5.2,119,2,5,14990
16,Renault,Renault Kadjar,C,2019,57969,Diésel,115,MANUAL,False,Murcia,4.49,1.84,1.61,1531,1478,-,189,11.7,4.3,113,2,5,19250
17,Opel,Opel Corsa,C,2017,119746,Gasolina,90,MANUAL,False,Madrid,4.02,1.75,1.48,1163,1120,-,175,13.2,5.2,120,2,5,9750
18,Volkswagen,Volkswagen Tiguan,C,2019,44720,Gasolina,130,MANUAL,False,Murcia,4.49,1.84,1.65,1520,1655,-,192,10.2,7.0,130,2,5,23900
19,Seat,Seat León,C,2015,62090,Gasolina,110,MANUAL,False,Barcelona,4.26,1.82,1.46,1213,1210,-,194,9.9,4.9,114,2,5,12300
20,Honda,Honda HR-V,C,2019,1016600,Gasolina,130,MANUAL,True,Valencia,4.33,1.77,1.61,1241,1533,-,192,10.7,5.8,132,2,5,19990
21,Dacia,Dacia Duster,ECO,2021,22713,GLP,100,MANUAL,True,Sevilla,4.34,1.8,1.69,1339,1478,-,,128.0,,,2,5,15490
22,Opel,Opel Crossland X,C,2018,60025,Gasolina,130,MANUAL,True,Alicante,4.21,1.83,1.61,1274,1255,-,206,9.1,5.1,116,2,5,12990
23,KIA,KIA Ceed,B,2013,116528,Diésel,90,MANUAL,True,Murcia,4.31,1.78,1.47,1365,1318,-,170,13.5,4.3,114,2,5,8990
24,BMW,BMW Serie 1,C,2019,84775,Diésel,150,MANUAL,False,Madrid,4.32,1.8,1.43,1475,1200,-,218,9.3,4.1,108,2,5,24990
25,Seat,Seat Ateca,C,2018,80943,Diésel,115,MANUAL,False,Madrid,4.36,1.84,1.62,1428,,-,184,11.5,4.6,120,2,5,21490
26,Volkswagen,Volkswagen Golf,C,2016,94367,Gasolina,125,AUTO,True,Madrid,4.26,1.8,1.45,1249,1270,-,204,9.1,5.0,116,2,5,16500
27,Audi,Audi A3,C,2018,90695,Diésel,116,AUTO,False,Murcia,4.31,1.79,1.43,1360,1220,-,202,10.2,4.0,106,2,5,18200
28,Nissan,Nissan QASHQAI,ECO,2022,36017,Híbrido,158,AUTO,True,Barcelona,4.43,1.84,1.63,1570,1593,-,198,9.9,6.4,144,1,5,21652
29,Mazda,Mazda CX-30,ECO,2020,61031,Gasolina,122,AUTO,False,Sevilla,4.39,1.8,1.54,1347,,-,186,11.2,6.6,151,2,5,22790
